step,x,y,z
0,1.3816584,0.0,0.0
1,1.3815808945559744,0.015302790899129441,0.0
2,1.381348389352542,0.030603865586577697,0.0
3,1.3809609177796711,0.045901507600004006,0.0
4,1.3804185354780163,0.061194001186018025,0.0
5,1.3797213203212004,0.0764796316542031,0.0
6,1.378869372391025,0.09175668573062108,0.0
7,1.377862813945632,0.10702345191062658,0.0
8,1.376701789380633,0.12227822081081934,0.0
9,1.3753864651832406,0.13751928551996412,0.0
10,1.3739170298794257,0.15274494194870883,0.0
11,1.3722936939741464,0.16795348917793196,0.0
12,1.3705166898846834,0.18314322980555287,0.0
13,1.368586271867134,0.19831247029163893,0.0
14,1.3665027159361107,0.21345952130164558,0.0
15,1.3642663197777065,0.22858269804762726,0.0
16,1.3618774026557816,0.24368032062725864,0.0
17,1.3593363053116414,0.25875071436050817,0.0
18,1.3566433898571717,0.27379221012380794,0.0
19,1.3537990396615063,0.28880314468156615,0.0
20,1.3508036592313066,0.3037818610148707,0.0
21,1.347657674084732,0.3187267086472361,0.0
22,1.3443615306191896,0.3336360439672475,0.0
23,1.3409156959729542,0.3485082305479582,0.0
24,1.3373206578807495,0.3633416394629026,0.0
25,1.3335769245233902,0.3781346495985858,0.0
26,1.329685024371587,0.3928856479633173,0.0
27,1.3256455060240182,0.40759302999225877,0.0
28,1.3214589380397745,0.4222551998485579,0.0
29,1.3171259087652916,0.4368705707204469,0.0
30,1.3126470261558831,0.45143756511418354,0.0
31,1.3080229175919904,0.46595461514272146,0.0
32,1.3032542296902723,0.4804201628099951,0.0
33,1.298341628109655,0.4948326602907126,0.0
34,1.2932857973524692,0.5091905702055513,0.0
35,1.2880874405608014,0.5234923658916562,0.0
36,1.28274727930819,0.5377365316683437,0.0
37,1.2772660533868,0.5519215630979206,0.0
38,1.2716445205902074,0.5660459672415276,0.0
39,1.265883456491932,0.5801082629099245,0.0
40,1.2599836542198564,0.5941069809091389,0.0
41,1.2539459242266693,0.6080406642809006,0.0
42,1.2477710940564752,0.6219078685377907,0.0
43,1.2414600081077103,0.6357071618930408,0.0
44,1.2350135273925122,0.6494371254849173,0.0
45,1.2284325292926825,0.663096353595634,0.0
46,1.221717907312391,0.676683453864738,0.0
47,1.2148705708277645,0.6901970474969206,0.0
48,1.2078914448335094,0.7036357694642063,0.0
49,1.2007814696867116,0.7169982687024814,0.0
50,1.193541600847962,0.7302832083023224,0.0
51,1.1861728086199548,0.7434892656940946,0.0
52,1.1786760778837049,0.7566151328272906,0.0
53,1.1710524078325317,0.7696595163440872,0.0
54,1.1633028117039557,0.7826211377470972,0.0
55,1.1554283165096524,0.7954987335613047,0.0
56,1.147429962763613,0.8082910554901696,0.0
57,1.1393088042086514,0.8209968705658938,0.0
58,1.131065907541406,0.8336149612938474,0.0
59,1.122702352135978,0.8461441257911532,0.0
60,1.114219229766347,0.8585831779194353,0.0
61,1.1056176443277068,0.8709309474117387,0.0
62,1.0968987115568611,0.8831862799936328,0.0
63,1.0880635587518155,0.8953480374985129,0.0
64,1.0791133244907052,0.9074150979771205,0.0
65,1.0700491583501925,0.9193863558013035,0.0
66,1.0608722206234678,0.9312607217620424,0.0
67,1.051583682037987,0.9430371231617739,0.0
68,1.0421847234730754,0.9547145039010405,0.0
69,1.0326765356775252,0.966291824559507,0.0
70,1.0230603189873135,0.9777680624713785,0.0
71,1.0133372830435674,0.9891422117952638,0.0
72,1.0035086465108938,1.0004132835785302,0.0
73,0.9935756367961988,1.0115803058161938,0.0
74,0.9835394897681098,1.0226423235044007,0.0
75,0.9734014494771194,1.0335983986885466,0.0
76,0.9631627678765617,1.044447610506096,0.0
77,0.952824704544533,1.0551890552241543,0.0
78,0.9423885264068637,1.0658218462718565,0.0
79,0.9318555074612481,1.0763451142676337,0.0
80,0.9212269285026345,1.086758007041422,0.0
81,0.910504076849976,1.0970596896518823,0.0
82,0.8996882460744395,1.1072493443986968,0.0
83,0.8887807357291692,1.1173261708300173,0.0
84,0.8777828510806945,1.1272893857451327,0.0
85,0.8666959028420761,1.1371382231924347,0.0
86,0.8555212069078716,1.1468719344627532,0.0
87,0.8442600840910102,1.1564897880781417,0.0
88,0.8329138598616549,1.1659910697761893,0.0
89,0.8214838640881311,1.17537508248994,0.0
90,0.8099714307799991,1.1846411463235003,0.0
91,0.798377897833341,1.1937885985234162,0.0
92,0.7867046067783354,1.2028167934459042,0.0
93,0.7749529025291847,1.211725102520019,0.0
94,0.7631241331364613,1.2205129142068445,0.0
95,0.7512196495419352,1.2291796339547894,0.0
96,0.7392408053359399,1.2377246841510798,0.0
97,0.7271889565173368,1.2461475040695313,0.0
98,0.715065461256128,1.2544475498146872,0.0
99,0.7028716796587722,1.262624294262414,0.0
100,0.6906089735362495,1.2706772269970397,0.0
101,0.6782787061749227,1.2786058542451226,0.0
102,0.6658822421102373,1.2864096988059406,0.0
103,0.6534209469033011,1.2940882999787882,0.0
104,0.640896186920382,1.301641213487171,0.0
105,0.6283093291153588,1.3090680113999842,0.0
106,0.6156617408151577,1.316368282049763,0.0
107,0.6029547895082071,1.323541629948098,0.0
108,0.5901898426359363,1.3305876756982948,0.0
109,0.5773682673873446,1.3375060559053735,0.0
110,0.5644914304966661,1.3442964230834902,0.0
111,0.5515606980441483,1.3509584455608692,0.0
112,0.5385774352599663,1.3574918073823306,0.0
113,0.5255430063312858,1.3638962082095005,0.0
114,0.5124587742124934,1.3701713632187884,0.0
115,0.49932610043860254,1.376317002997215,0.0
116,0.4861463449418486,1.3823328734361746,0.0
117,0.47292086587147897,1.3882187356232178,0.0
